City,State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,GrAppv,SBA_Appv,IndustryCode
SEATTLE,WA,BANK OF AMERICA NATL ASSOC,WA,12,1,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
CEDAR RAPIDS,IA,WELLS FARGO BANK NATL ASSOC,SD,6,12,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
CANANDAIGUA,NY,CANANDAIGUA NATL BK & TR CO,NY,36,9,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
GRANDY,NC,BANCO POPULAR NORTH AMERICA,NY,6,7,1,0,7,1,2,TRUE,FALSE,20000,20000,10000,44
SALT LAKE CITY,UT,ZIONS FIRST NATIONAL BANK,UT,60,6,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,32
FALMOUTH,MA,THE EDGARTOWN NATIONAL BANK,MA,12,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FAIRPORT,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,60,1,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
MARLBORO,NY,BANK OF AMERICA NATL ASSOC,CT,61,8,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NEWBURYPORT,MA,WELLS FARGO BANK NATL ASSOC,SD,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,44
FLOWER MOUND,TX,PROSPERITY BANK,TX,60,1,2,0,0,1,0,FALSE,FALSE,20000,20000,15000,0
BAYTOWN,TX,WELLS FARGO BANK NATL ASSOC,SD,60,19,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,84,10,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,48
INDIANA,PA,"BSI FINANCIAL SERVICES, INC",PA,87,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FORT LAUDERDALE,FL,BANK OF AMERICA NATL ASSOC,GA,12,5,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
SANTA MARIA,CA,WELLS FARGO BANK NATL ASSOC,SD,60,3,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
NEW YORK,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,36,15,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
BELLINGHAM,WA,WELLS FARGO BANK NATL ASSOC,SD,60,1,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,42
SAN ANTONIO,TX,BBCN BANK,CA,47,1,1,2,1,1,1,FALSE,FALSE,20000,20000,17000,45
EVELETH,MN,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
SEMINOLE,FL,WELLS FARGO BANK NATL ASSOC,FL,84,4,2,0,0,0,0,FALSE,FALSE,20000,20000,18000,0
SPOKANE,WA,WELLS FARGO BANK NATL ASSOC,SD,4,3,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
NEW HARBOR,ME,DAMARISCOTTA BK & TR CO,ME,96,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CONCORD,NH,"TD BANK, NATIONAL ASSOCIATION",NH,36,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,42
CRANSTON,RI,CITIZENS BANK NATL ASSOC,RI,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
MONETT,MO,FIRST INDEPENDENT BANK,MO,60,6,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
FLORISSANT,MO,BANK OF AMERICA NATL ASSOC,NC,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NORTHAMPTON,MA,PEOPLE'S UNITED BANK,CT,84,3,2,0,3,1,1,FALSE,FALSE,20000,20000,10000,45
GRIFFIN,GA,UNITED BANK,GA,120,7,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SAVANNAH,GA,BRANCH BK. & TR CO,GA,36,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
TULSA,OK,1ST NATL BK & TR CO OF BROKEN,OK,60,4,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,45
OTIS ORCHARDS,WA,KEYBANK NATIONAL ASSOCIATION,WA,12,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,42
BALTIMORE,MD,MANUFACTURERS & TRADERS TR CO,MD,12,6,1,0,0,1,0,TRUE,FALSE,20000,20000,15000,23
WATERTOWN,SD,FIRST PREMIER BANK,SD,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
LOS ANGELES,CA,WILSHIRE BANK,CA,84,2,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
GULFPORT,MS,BANCORPSOUTH BANK,MS,84,4,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
HAMILTON,NY,"NBT BANK, NATIONAL ASSOCIATION",NY,60,1,2,1,1,1,2,FALSE,FALSE,20000,20000,10000,33
PASO ROBLES,CA,HERITAGE OAKS BANK,CA,17,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GARDNER,MA,"TD BANK, NATIONAL ASSOCIATION",DE,7,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LITTLE ROCK,AR,REGIONS BANK,AR,60,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
YAZOO CITY,MS,BBCN BANK,CA,84,17,1,1,17,1,2,FALSE,FALSE,20000,20000,17000,62
TALLAHASSEE,FL,"READYCAP LENDING, LLC",CA,84,5,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GLENSIDE,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,24,5,1,0,5,1,1,TRUE,FALSE,20000,20000,10000,62
ACKLEY,IA,ACKLEY STATE BANK,IA,42,10,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
PULASKI,NY,"NBT BANK, NATIONAL ASSOCIATION",NY,84,12,2,0,12,1,2,TRUE,FALSE,20000,20000,10000,81
GARNER,IA,"LIBERTY BANK, FSB",IA,120,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
URBANA,IL,CENTRAL ILLINOIS BANK A BRANCH,IL,108,1,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
BRONX,NY,BNB HANA BANK NATL ASSOC,NJ,85,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
BROOKLYN,NY,HSBC BK USA NATL ASSOC,NY,61,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
LAMAR,MO,METROPOLITAN NATIONAL BANK,MO,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,51
PROVO,UT,U.S. BANK NATIONAL ASSOCIATION,OH,84,2,1,1,3,1,1,TRUE,FALSE,20000,20000,17000,54
BATTLE CREEK,NE,WELLS FARGO BANK NATL ASSOC,NE,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NASHVILLE,TN,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
DRESDEN,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,48,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
MCALLEN,TX,FROST BANK,TX,60,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LAS CRUCES,NM,COMPASS BANK,NM,60,4,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,51
GENESEO,NY,CANANDAIGUA NATL BK & TR CO,NY,48,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WICHITA,KS,EQUITY BANK,KS,84,5,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,33
BLAWNOX,PA,ALLEGHENY VALLEY BK OF PITTSBU,PA,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
DES MOINES,IA,WELLS FARGO BANK NATL ASSOC,SD,36,17,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,71
NEW YORK,NY,BNB HANA BANK NATL ASSOC,NJ,85,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SAN CLEMENTE,CA,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
MIAMI,FL,WELLS FARGO BANK NATL ASSOC,SD,3,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
HAMPTON,AR,FIRST STATE BANK OF WARREN,AR,5,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
ALBURG,VT,PEOPLES TR CO OF ST. ALBANS,VT,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LITTLE ROCK,AR,WELLS FARGO BANK NATL ASSOC,SD,22,6,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
SEATTLE,WA,BANK OF AMERICA NATL ASSOC,WA,12,4,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,44
MCCALL,ID,BANK OF THE CASCADES,OR,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
HOUSTON,TX,UNITED CENTRAL BANK,TX,71,20,1,0,20,1,0,FALSE,FALSE,20000,20000,17000,72
GRAFTON,ND,BREMER BANK NATL ASSOC,ND,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
BARRINGTON,IL,BBCN BANK,CA,22,3,1,1,3,1,1,FALSE,FALSE,20000,20000,17000,56
MERKEL,TX,CITIZENS BANK NATL ASSOC,TX,60,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
SO. BOUND BROOK,NJ,BANK OF AMERICA NATL ASSOC,CT,36,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,72
SCOTTSDALE,AZ,WELLS FARGO BANK NATL ASSOC,CA,60,1,1,0,1,1,1,TRUE,FALSE,20000,20000,10000,81
ATLANTIC,IA,ROLLING HILLS BANK & TRUST,IA,179,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
ROCHESTER,MN,ASSOCIATED BANK NATL ASSOC,WI,31,6,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WEST HARTFORD,CT,BANK OF AMERICA NATL ASSOC,RI,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WARRENTON,VA,MANUFACTURERS & TRADERS TR CO,MD,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LA VERNE,CA,PACIFIC WESTERN BANK,CA,120,1,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,56
DRACUT,MA,ENTERPRISE BK & TR CO,MA,48,5,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LAWRENCE,MA,BANK OF AMERICA NATL ASSOC,MA,12,12,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,23
CHICAGO,IL,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
MOUNT CARMEL,TN,INNOVATIVE BANK,CA,84,2,1,2,2,1,2,FALSE,FALSE,20000,20000,17000,23
FLEMINGTON,NJ,"TD BANK, NATIONAL ASSOCIATION",DE,58,4,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,62
BLOOMSBURG,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,24,3,1,2,5,1,1,TRUE,FALSE,20000,20000,10000,81
RIVERDALE,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,60,2,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
ORANGE,CA,MUFG UNION BANK NATL ASSOC,CA,36,1,1,0,0,1,1,FALSE,FALSE,20000,20000,10000,54
WINTER PARK,CO,BANK OF THE WEST,CO,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
SEATTLE,WA,EAST WEST BANK,WA,84,2,1,0,2,1,1,FALSE,FALSE,20000,20000,10000,72
BATON ROUGE,LA,INNOVATIVE BANK,CA,84,8,1,2,8,1,1,FALSE,FALSE,20000,20000,17000,62
WASHINGTON,PA,WASHINGTON FINANCIAL BANK,PA,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,31
NEW PHILADELPHIA,OH,THE CITIZENS SAVINGS BANK,OH,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
ROSEBUD,MO,BANK OF SULLIVAN,MO,84,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LAS VEGAS,NV,WELLS FARGO BANK NATL ASSOC,NV,60,9,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
DORCHESTER,MA,BANK OF AMERICA NATL ASSOC,CT,36,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GREENFIELD,MA,WELLS FARGO BANK NATL ASSOC,SD,60,6,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
MORGANTOWN,WV,INNOVATIVE BANK,CA,84,18,1,0,18,1,2,FALSE,FALSE,20000,20000,17000,56
GUYMON,OK,BANK OF THE PANHANDLE,OK,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
MILFORD,PA,"PNC BANK, NATIONAL ASSOCIATION",PA,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,42
ROCHESTER,NY,BANK OF AMERICA NATL ASSOC,NY,60,35,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
PROVIDENCE,RI,CITIZENS BANK NATL ASSOC,RI,8,2,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,62
MIAMI BEACH,FL,SUNTRUST BANK,GA,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GARDNER,MA,BANK OF AMERICA NATL ASSOC,MA,84,3,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
HUNTINGTON BEACH,CA,BANK OF AMERICA CALIFORNIA N.A,CA,84,9,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
BROOKFIELD,CT,JPMORGAN CHASE BANK NATL ASSOC,IL,48,3,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
WASHINGTON,DC,INDUSTRIAL BANK,DC,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
NEODESHA,KS,WELLS FARGO BANK NATL ASSOC,SD,60,5,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
ST. LOUIS,MO,BANK OF AMERICA NATL ASSOC,NC,60,10,1,0,0,1,0,FALSE,TRUE,20000,30000,24000,0
GARRISON,ND,BREMER BANK NATL ASSOC,ND,36,5,2,0,0,19550,0,FALSE,TRUE,20000,20000,16000,0
GORHAM,ME,MAINE BK & TRUST A DIVISION OF,ME,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,42
KERNERSVILLE,NC,BRANCH BK. & TR CO,NC,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LYONS,NY,HSBC BK USA NATL ASSOC,NY,48,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CLARKSVILLE,TN,BBCN BANK,CA,84,15,2,0,15,1,1,FALSE,FALSE,20000,20000,17000,61
ANCHORAGE,AK,NORTHRIM BANK,AK,4,10,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
RALEIGH,NC,SELF-HELP CU,NC,9,1,2,1,0,1,1,FALSE,FALSE,20000,20000,10000,48
TRAVERSE CITY,MI,FIFTH THIRD BANK,OH,38,11,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,33
MADISON,MN,KLEINBANK,MN,79,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CORPUS CHRISTI,TX,KLEBERG BANK NATL ASSOC,TX,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
CRESTED BUTTE,CO,BANK OF THE WEST,CO,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FOUNTAIN VALLEY (TALBERT),CA,JPMORGAN CHASE BANK NATL ASSOC,NV,84,2,1,1,2,1,2,TRUE,FALSE,20000,20000,10000,81
CHICAGO,IL,BBCN BANK,CA,19,4,1,2,4,1,1,FALSE,FALSE,20000,20000,17000,23
BLADENSBURG,MD,FIRST NATL BK OF PENNSYLVANIA,MD,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
HARTFORD,CT,BANK OF AMERICA NATL ASSOC,RI,12,8,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,54
WEST VALLEY CITY,UT,AMERICANWEST BANK,UT,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,42
KANSAS CITY,MO,HILLCREST BANK,KS,60,8,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
MISSION,KS,ENTERPRISE BANK & TRUST,KS,36,1,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,54
ORONO (TOWN OF),ME,"MERRILL BANK, A DIVISION OF",ME,48,13,1,1,12,1,2,FALSE,FALSE,20000,20000,10000,23
MARGATE,FL,BANK OF AMERICA NATL ASSOC,GA,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,33
ONTARIO,CA,PACIFIC WESTERN BANK,CA,84,4,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,33
FITCHBURG,MA,BANK OF AMERICA NATL ASSOC,MA,12,4,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,44
SIGNAL MOUNTAIN,TN,BBCN BANK,CA,17,2,1,8,2,1,1,FALSE,FALSE,20000,20000,17000,51
HERCULES,CA,EAST WEST BANK,CA,84,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
CLEVELAND,OH,U.S. BANK NATIONAL ASSOCIATION,OH,84,5,2,0,5,1,1,FALSE,FALSE,20000,20000,17000,53
FOLLANSBEE,WV,JPMORGAN CHASE BANK NATL ASSOC,IL,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
MEMPHIS,TN,REGIONS BANK,TN,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
LAWRENCEBURG,KY,PEOPLES EXCHANGE BANK,KY,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LANCASTER,PA,SUSQUEHANNA BANK,PA,60,7,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CINNAMINSON,NJ,"PNC BANK, NATIONAL ASSOCIATION",NJ,60,2,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,31
CARTHAGE,MO,BANK OF AMERICA NATL ASSOC,NC,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GRISWOLD,IA,ROLLING HILLS BANK & TRUST,IA,240,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
MANHATTAN,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,60,4,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
WATERVILLE,OH,THE HUNTINGTON NATIONAL BANK,OH,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LOS ANGELES,CA,BBCN BANK,CA,53,1,2,0,1,1,1,FALSE,FALSE,20000,20000,17000,45
BIRMINGHAM,AL,BBCN BANK,CA,34,4,1,4,4,1,1,FALSE,FALSE,20000,20000,17000,56
MONTPELIER,VT,"TD BANK, NATIONAL ASSOCIATION",VT,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CANTON,MA,CITIZENS BANK NATL ASSOC,MA,36,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
NASHVILLE,TN,REGIONS BANK,AL,60,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ASHBURN,VA,UNITED BANK,VA,48,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LINCOLN,IL,STATE BANK OF LINCOLN,IL,116,1,2,1,1,1,2,FALSE,FALSE,20000,20000,17000,81
PARLIN,NJ,"PNC BANK, NATIONAL ASSOCIATION",DE,48,4,1,10,10,1,1,TRUE,FALSE,20000,10000,5000,52
LOS ANGELES,CA,BBCN BANK,CA,84,5,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
SPRINGFIELD,MO,GREAT SOUTHERN BANK,MO,84,1,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,45
BURLINGTON,WA,SKAGIT BANK,WA,48,2,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
INGLEWOOD,CA,COMERICA BANK,TX,110,1,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
MARYVILLE,TN,BBCN BANK,CA,51,4,1,1,4,1,1,FALSE,FALSE,20000,20000,17000,45
MOUNTAIN VIEW,CA,BBCN BANK,CA,68,1,1,1,1,1,1,FALSE,FALSE,20000,20000,17000,45
ALTUS,OK,1ST NATL BK IN ALTUS,OK,91,2,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,44
HIXSON (RR NAME HIXSON),TN,BBCN BANK,CA,84,9,1,6,9,1,1,FALSE,FALSE,20000,20000,17000,81
CHICAGO,IL,BBCN BANK,CA,48,3,1,3,3,1,1,FALSE,FALSE,20000,20000,10000,44
APPLE VALLEY,MN,WELLS FARGO BANK NATL ASSOC,SD,60,1,1,0,1,1,1,TRUE,FALSE,20000,20000,10000,54
SAN RAFAEL,CA,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,2,1,1,FALSE,FALSE,20000,20000,10000,54
LOWELL,MA,ENTERPRISE BK & TR CO,MA,60,6,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
FLORA VISTA,NM,WELLS FARGO BANK NATL ASSOC,NM,60,10,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
ENID,OK,CENTRAL NATL BK & TR CO OF ENI,OK,78,1,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,45
KATONAH,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
NEW YORK,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,24,3,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
BOZEMAN,MT,FIRST SECURITY BK OF MISSOULA,MT,60,13,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ARTHURDALE,WV,BBCN BANK,CA,84,2,1,1,2,1,2,FALSE,FALSE,20000,20000,17000,45
DUNCANVILLE,TX,PROSPERITY BANK,TX,24,12,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
DALEVILLE,AL,COMMUNITY BK & TR OF S.E. ALAB,AL,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
LUBBOCK,TX,PROSPERITY BANK,TX,60,10,2,0,0,35711,0,FALSE,TRUE,20000,20000,16000,0
EL PASO,TX,JPMORGAN CHASE BANK NATL ASSOC,IL,36,5,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
UNION CITY,NJ,BANCO POPULAR NORTH AMERICA,NJ,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ALBUQUERQUE,NM,BANK OF AMERICA NATL ASSOC,NM,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SPRINGFIELD,MO,METROPOLITAN NATIONAL BANK,MO,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
PRESCOTT VALLEY,AZ,JPMORGAN CHASE BANK NATL ASSOC,IL,71,10,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
WICHITA,KS,FIDELITY BANK,KS,36,4,2,0,4,1,1,TRUE,FALSE,20000,15000,7500,54
SHEBOYGAN,WI,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,2,1,2,FALSE,FALSE,20000,20000,10000,23
RIVERTON,UT,MOUNTAIN AMERICA FCU,UT,42,1,2,3,1,1,2,TRUE,FALSE,20000,20000,10000,56
TITUSVILLE,PA,FIRST COMMONWEALTH BANK,PA,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,21
GLOVERSVILLE,NY,"NBT BANK, NATIONAL ASSOCIATION",NY,120,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
MELROSE,MA,CENTURY BANK AND TRUST COMPANY,MA,60,3,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,81
NEW LONDON,NH,SUGAR RIVER BANK,NH,60,6,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
REYNOLDSBURG,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,56
ALBANY,NY,KEYBANK NATIONAL ASSOCIATION,NY,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,45
BILLERICA,MA,BANK OF AMERICA NATL ASSOC,NC,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
BOSTON,MA,BANK OF AMERICA NATL ASSOC,MA,144,50,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
FRAMINGHAM,MA,BANK OF AMERICA NATL ASSOC,CT,36,6,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FAIRPORT,NY,BANK OF AMERICA NATL ASSOC,CT,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
WEEDSPORT,NY,COMMUNITY BANK NATL ASSOC,NY,84,10,0,0,0,1,0,FALSE,FALSE,20000,20000,15000,0
CRYSTAL SPRINGS,MS,REGIONS BANK,TN,84,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
NEW PALTZ,NY,BANK OF AMERICA NATL ASSOC,CT,61,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
FARGO,ND,ALERUS FINANCIAL NATL ASSOC,ND,36,8,2,0,0,1,0,FALSE,TRUE,20000,20000,15000,0
LIHUE,HI,WELLS FARGO BANK NATL ASSOC,CA,49,7,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,42
CLEVELAND,OH,URBAN PARTNERSHIP BANK,OH,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FARMINGTON,NH,WELLS FARGO BANK NATL ASSOC,SD,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,45
FREEOLD,NJ,"TD BANK, NATIONAL ASSOCIATION",DE,84,7,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,62
BREWER,ME,"MERRILL BANK, A DIVISION OF",ME,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
LAWRENCE,KS,U.S. BANK NATIONAL ASSOCIATION,OH,63,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
FORT DODGE,IA,WELLS FARGO BANK NATL ASSOC,IA,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
CHICOPEE,MA,BANK OF AMERICA NATL ASSOC,RI,36,12,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
WAYLAND,MA,BANK OF AMERICA NATL ASSOC,MA,12,3,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,54
SAINT LOUIS,MO,BBCN BANK,CA,84,1,1,1,1,1,1,FALSE,FALSE,20000,20000,17000,23
MADISON,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,44
LAFAYETTE,LA,"MIDSOUTH BANK, N.A.",LA,84,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
SPRINGFIELD,MN,FIRST NATIONAL BANK,MN,55,2,2,0,0,1,0,FALSE,TRUE,20000,35000,28000,45
SALT LAKE CITY,UT,JPMORGAN CHASE BANK NATL ASSOC,IL,12,3,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
BILLINGS,MT,WELLS FARGO BANK NATL ASSOC,MT,36,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,51
BANNER,KY,BRANCH BK. & TR CO,NC,36,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,11
PLAISTOW,NH,WELLS FARGO BANK NATL ASSOC,CA,81,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,44
